timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-09 00:01,617,1967,4743,,,419,1960,566,,,,,1920,,,,2537,,4783,,1470,477,1213,3415,644,,1941,534,571,1911,,540,657,4637,1893,1918,4865,,1934,,4821,1681,551,568,,1178,5734,1890,542,426,1696,768,,544,1881,769,1994,6519
2026-08-09 00:11,617,1862,4743,268,,419,1855,566,,,,,,511,519,3567,2537,834,4963,,1445,477,,3415,644,4474,,,,,4732,510,,4507,,,4795,,1844,5074,4821,1646,,,5967,1138,5614,1890,562,426,1666,748,,544,,739,1994,
2026-08-09 00:21,,,4743,,545,419,,566,1145,,,463,1840,511,519,3567,2537,799,4783,3887,,,1213,3555,644,4474,,504,,,4797,495,,4572,,,,,,5074,4821,1646,566,568,5967,1138,5734,1850,562,426,,,4679,,,,,6519
2026-08-09 00:31,,,4743,,545,419,1855,551,1100,,,478,,511,519,3567,2537,,,3942,,,1213,3555,704,4474,,504,,,4797,495,,4572,,1848,4935,508,1889,5074,4821,,551,568,5967,1138,5734,1890,562,426,,,4679,544,,,1994,6519
2026-08-09 00:41,,,4743,,545,419,1855,551,1145,,,478,,511,519,3567,2537,,4963,3942,,,1148,3555,704,4529,,504,,,4797,495,,4637,,,,508,1889,5074,4821,1611,536,568,5967,1138,5734,1850,562,426,,,4679,544,,,1994,6664
2026-08-09 00:51,,,4818,,545,,1855,551,1145,544,,463,,,519,3567,2537,799,4963,3942,,,1213,3695,644,4584,,504,,,4797,495,,4637,,1848,4935,,1889,5074,4821,1611,551,568,5967,1138,5734,1890,562,426,,,4679,544,1761,,1994,6664
2026-08-09 01:01,,,4818,,590,,1820,551,1100,564,,463,,,519,3567,2537,799,4783,3997,,,1213,3695,674,4584,,504,,,4797,,,4637,,1848,4935,508,1889,5074,4821,1646,536,568,5967,1138,5734,1850,562,426,,,4679,544,1761,,1994,6664
2026-08-09 01:11,,,4818,,500,,1890,551,1100,,,463,,,519,3567,2537,799,4783,3997,,,1213,3695,644,4584,,504,,,4797,495,,4637,,1848,4935,,1889,5074,4821,1646,551,568,5967,1138,5734,,582,426,,,4744,544,1761,739,1994,6664
2026-08-09 01:22,,,4818,,545,419,1855,551,1145,,,463,,,519,3567,2537,799,4963,3997,,,1148,3695,674,4584,,504,,,4797,495,,4702,,,4935,508,1889,5074,4821,1646,551,568,5967,1138,5734,1890,562,426,,,4744,544,1801,739,1994,6809
2026-08-09 01:31,,,4818,,500,419,1820,551,1190,564,,,,511,519,3667,2537,799,4963,3997,,,1148,3695,644,,,504,,,4862,510,,4637,,1813,4935,,1889,5074,4821,1681,551,568,5967,1138,5734,1890,562,426,,,4744,544,1801,,1994,6809
2026-08-09 01:41,,,4818,,500,,1820,551,1190,544,,,,,519,3667,2537,799,4963,,,,,3695,644,4639,,504,,,4862,495,,4702,,1848,4935,508,1889,5074,4821,1681,551,568,5967,1138,5734,1850,562,426,,,4744,544,1801,,1994,6809
2026-08-09 01:51,,,4818,,500,,,551,1100,564,,,,511,519,3667,2537,799,,4052,,,1213,3695,644,4639,,504,,,4862,510,,4702,,1848,4935,508,,5074,4821,1646,551,568,5967,1138,5734,1890,562,426,,,4809,544,1801,,1994,6809
2026-08-09 02:01,,,4818,,,419,1820,551,1145,564,,463,1800,,499,3667,2537,764,5143,4052,,,1213,3835,,4639,,504,,,4862,495,,4702,,1848,4935,,1889,5169,4821,1681,551,568,5967,1138,5734,1850,562,411,,,4809,544,1801,,1994,6954
