timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-21 03:11,,,5043,,,459,,,,1235,,,508,,791,519,3567,2537,799,4963,3942,,447,1538,4115,614,4419,,,4862,,4832,,1848,5215,508,1889,5454,5046,,,568,6267,1578,6094,1930,562,426,,,4744,524,1761,709,1994,6954
2026-08-21 03:21,,,5043,,680,439,,,,1145,644,,508,,751,519,3567,2537,834,4963,3942,,432,1538,4115,,4419,,,4927,,4832,,1883,5215,508,1889,5549,5046,,,568,6267,1578,6094,1930,582,426,,,4744,524,1761,,1994,6954
2026-08-21 03:31,557,,5043,,680,439,,,,1190,704,,,,751,519,3567,2537,834,4963,3942,,417,1538,3975,,4419,,,4927,525,4767,,1848,5215,508,1889,5549,5046,,,568,6267,1578,6094,1930,582,426,,,4744,504,1761,,1994,6954
2026-08-21 03:41,,,5043,,680,419,,,,1145,704,,508,,751,519,3567,2537,834,,3942,,417,1538,4115,614,4419,,,4927,,4702,,1848,5215,508,1889,5549,5046,,,568,6267,1618,6094,1930,582,426,,,4744,504,1761,,1994,6954
2026-08-21 03:51,,,,,680,439,,,,1190,644,,508,,791,519,3567,2622,869,5143,3942,,432,1603,4115,614,4419,,,4927,,4702,,1883,5215,508,1889,5549,5046,,,548,6267,1618,6094,1890,562,426,,,4744,524,1721,739,1994,6954
2026-08-21 04:01,,,4968,,680,439,,,,1190,,,508,,791,519,3567,2622,834,4783,3942,,,1538,4115,614,4419,,,4927,,4767,,1883,5215,508,1889,5549,5046,,,568,6267,1618,6094,1930,562,426,,,4744,524,1721,709,1994,6954
2026-08-21 04:11,,,4968,,680,439,,,,1145,704,,508,,791,499,3567,2537,834,4963,3942,,432,1473,3975,,4419,,,4992,,4767,,1883,5215,493,1844,5549,5046,,,568,6267,1578,6094,1930,582,426,,,,524,1721,,1994,6954
2026-08-21 04:21,,,5043,,,439,,,,1145,704,,508,,791,519,3667,2537,799,4963,3942,,432,1538,4115,,4419,,,4992,,4832,,1883,5215,493,1889,5549,5046,,,568,6267,1578,6094,1890,582,426,,,4744,524,1721,,1994,6809
2026-08-21 04:31,,,5043,,,439,,,,,704,,,,791,519,3567,2537,799,4963,3942,,432,1538,4115,614,4419,,,4927,,4832,,1883,5215,,1889,5549,5046,,,548,6267,1578,6094,1890,582,426,,,4744,524,1721,,1994,6809
2026-08-21 04:41,557,,4968,,,,,,,1190,704,,,,791,519,3667,2537,869,4963,3942,,432,1538,4115,,4419,,,4927,,4832,,1883,5215,508,1844,5549,5046,,,568,6267,1618,6094,1930,582,411,,,4744,524,1721,709,1994,7099
2026-08-21 04:51,,,5043,,725,459,,,,1235,704,,508,,791,519,3667,2452,904,4963,3942,,417,1473,3975,614,4419,,,4927,,4767,,1883,5215,508,1889,5549,5046,,,568,6267,1578,6094,1890,562,426,,,4809,524,,709,1924,7099
