timestamp,.300BLK_4,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt RN,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢
2026-07-11 18:56,2072,639,2065,641,1595,604,568,2080,711,2197,834,5143,1295,507,644,1916,,586,1821,667,4247,1953,2093,4025,598,2069,4979,4746,1996,671,668,5767,1178,5614,2090,682,591,778,4484,384,1961,769,1994
2026-07-11 19:01,2072,619,2065,641,1595,624,568,2080,711,2197,834,4963,1295,507,704,1916,594,586,1821,667,4182,1953,2093,4025,598,2069,4979,4746,1996,671,668,5767,1178,5614,2090,662,591,778,4484,384,1961,799,1994
2026-07-11 19:06,2072,619,2065,641,1595,624,568,2080,711,2197,834,4963,1295,507,704,1916,594,586,1821,667,4182,1953,2093,4025,598,2069,4979,4746,1996,671,668,5767,1178,5614,2090,662,591,778,4484,384,1961,799,1994
